DATE,tavg,tmin,tmax,prcp,wdir,wspd,wpgt,pres
03-08-23,1.1,-0.6,3.2,,213,10.4,27.8,997.9
03-09-23,0.9,-0.1,1.9,,89,12.8,31.5,997
03-10-23,3.3,1.4,5.3,,46,9.9,27.8,990.4
03-11-23,1.7,-0.1,2.9,,305,20.9,48.2,1002.5
03-12-23,2.1,-0.7,4.6,,229,14.8,33.3,1010.4
03-13-23,9.8,5,14.3,,214,21.5,53.7,999.4
03-14-23,9.8,2.6,13.7,,240,20.7,51.8,993.7
03-15-23,2.8,0.6,5.8,,274,16.1,40.8,1013.4
03-16-23,4,-1.7,9.5,,200,12.5,33.3,1021.5
03-17-23,7.7,1.9,14.3,,150,18.3,37,1014.6
03-18-23,11.2,6.5,17.1,,190,12.2,27.8,1012.3
03-19-23,10.9,7.1,15.9,,189,9.3,24.1,1014.8
03-20-23,8.8,7.1,10.6,,276,12.5,33.3,1016.9
03-21-23,9.3,6.8,11.9,,209,10.3,24.1,1015.2
03-22-23,11.9,8,16.2,,217,14.4,40.8,1009.1
03-23-23,12.3,10.6,14.7,,223,16.6,46.3,1005.6
03-24-23,12,8.8,14.9,,222,17.4,46.3,1002.6
03-25-23,9.2,7.7,11.1,,235,18.7,48.2,1002.9
03-26-23,8.2,5.6,10.3,,285,16.5,44.5,1003.3
03-27-23,3.8,1.7,5.6,,318,17.4,44.5,1011.2
03-28-23,2.9,0.4,6.2,,299,18.8,46.3,1021.3
03-29-23,5.4,0.7,9.7,,193,12.4,31.5,1017.5
03-30-23,10.6,7.3,15.1,,214,15.1,44.5,1007.2
03-31-23,10,8.2,12,,214,12.8,29.6,1000.7
04-01-23,8,4.9,9.1,,98,11.4,42.6,1001
04-02-23,4.7,2.6,7.1,,35,20.2,42.6,1020
04-03-23,2,-0.8,3.5,,30,15.9,35.2,1031.8
04-04-23,2,-1.8,5.2,,3,9.9,25.9,1029
04-05-23,2.6,-1.1,5.9,,326,7.9,22.2,1023.8
04-06-23,4.8,-1.2,10.4,,144,10,25.9,1021.4
04-07-23,4,0.6,6.3,,47,10.4,24.1,1020.4
04-08-23,8.1,5.8,11.7,,44,12.3,27.8,1023.5
